"country_name","cowcode","year","v2x_polyarchy","v2elparlel","v2lgbicam","v2jureview","v2csstruc_0","v2csstruc_1","v2csstruc_2","v2csstruc_3","v2x_feduni","v2x_divparctrl","e_v2xlg_legcon_5c","v2xcl_rol","lvaw_garriga","gdp_constant_2015_us","gdp_per_capita_constant_2015_us","gini_index","multidimensional_poverty_headcount_ratio_percent_of_total_population","population_total","poverty_gap_at_2_15_a_day_2017_ppp_percent","hp_democracy","lp_democracy"
"Armenia",371,1993,0.609,NA,1,-0.324,0,0.2,0.2,0.6,0.405,1.37,0.25,0.696,0.3025,NA,NA,NA,NA,NA,NA,0,0
"Armenia",371,1994,0.59,NA,1,-0.324,0,0.2,0.2,0.6,0.372,1.37,0.25,0.698,0.3025,NA,NA,NA,NA,NA,NA,0,0
"Armenia",371,1995,0.5,2,1,-0.324,0,0.2,0.2,0.6,0.257,0.452,0.25,0.734,0.3025,NA,NA,NA,NA,NA,NA,0,0
"Armenia",371,1996,0.421,NA,1,1.7,0,0.2,0.2,0.6,0.282,0.452,0.25,0.742,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,1997,0.399,NA,1,1.7,0,0.2,0.2,0.6,0.282,0.452,0.25,0.742,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,1998,0.407,NA,1,1.7,0,0.2,0.2,0.6,0.282,0.867,0.25,0.705,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,1999,0.42,2,1,1.7,0,0.2,0.2,0.6,0.282,0.867,0.25,0.701,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2000,0.422,NA,1,1.7,0,0.2,0.4,0.4,0.282,0.867,0.25,0.7,0.84650004,3959424830.6504,1289.88425211857,NA,NA,3069597,NA,0,1
"Armenia",371,2001,0.423,NA,1,1.7,0,0.2,0.4,0.4,0.282,0.867,0.25,0.727,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2002,0.412,NA,1,1.7,0,0.2,0.4,0.4,0.282,0.867,0.25,0.727,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2003,0.357,2,1,1.7,0,0.2,0.4,0.4,0.282,1.018,0.25,0.743,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2004,0.347,NA,1,1.7,0,0.2,0.4,0.4,0.282,1.018,0.25,0.732,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2005,0.346,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.018,0.25,0.758,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2006,0.345,NA,1,1.7,0,0.111,0.667,0.222,0.282,1.026,0.25,0.758,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2007,0.352,2,1,1.7,0,0.222,0.556,0.222,0.282,1.026,0.25,0.758,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2008,0.321,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.058,0.25,0.721,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2009,0.327,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.058,0.25,0.779,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2010,0.337,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.058,0.25,0.805,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2011,0.339,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.058,0.25,0.805,0.84650004,NA,NA,NA,NA,NA,NA,0,1
"Armenia",371,2012,0.361,2,1,1.7,0,0.222,0.556,0.222,0.282,-1.296,0.25,0.805,0.84650004,9555426146.01325,3312.9800082494,29.6,31.3,2884239,0.2,0,1
"Armenia",371,2013,0.361,NA,1,1.7,0,0.111,0.778,0.111,0.282,-0.753,0.25,0.814,NA,9870755208.83169,3406.53611767826,30.6,30.5,2897593,0.3,0,1
"Armenia",371,2014,0.352,NA,1,1.7,0,0.111,0.778,0.111,0.377,-0.349,0.25,0.816,NA,10226102396.4079,3511.2250593094,31.5,31.9,2912403,0.2,0,1
"Armenia",371,2015,0.356,NA,1,1.7,0,0.111,0.778,0.111,0.28,-0.349,0.25,0.809,NA,10553337672.9872,3607.28929855361,32.4,29.1,2925559,0.2,0,1
"Armenia",371,2016,0.357,NA,1,1.7,0,0.222,0.667,0.111,0.378,-1.216,0.25,0.806,NA,10574444348.3148,3601.46966358115,32.5,27.8,2936147,0.2,0,1
"Armenia",371,2017,0.39,1,1,1.7,0,0.125,0.75,0.125,0.422,-1.543,0.25,0.807,NA,11367527674.612,3860.21805793624,33.6,25.8,2944789,0.1,0,1
"Armenia",371,2018,0.467,1,1,1.7,0,0,0.625,0.375,0.443,-0.713,0.75,0.868,NA,11958639113.6524,4051.38496692373,34.4,23.6,2951741,0.2,0,1
"Armenia",371,2019,0.807,NA,1,1.7,0,0,0.5,0.5,0.464,-0.358,0.75,0.913,NA,12867495686.1153,4350.46619774208,29.9,NA,2957728,0.1,1,0
"Armenia",371,2020,0.795,NA,1,1.7,0,0.125,0.5,0.375,0.416,-0.358,0.75,0.905,NA,11915301005.3544,4021.0462641001,25.2,19.1,2963234,0.1,0,0
"Armenia",371,2021,0.739,1,1,1.7,0,0,0.625,0.375,0.43,-0.358,0.75,0.884,NA,12594473162.6721,4243.23788012921,NA,NA,2968128,NA,0,0
"Australia",900,1990,0.895,0,2,1.828,0,0.6,0.4,0,0.974,-1.117,1,0.983,0.34716448,630972702488.834,36974.4509255049,NA,NA,17065100,NA,1,0
"Australia",900,1991,0.895,NA,2,1.828,0,0.6,0.4,0,0.974,-1.117,1,0.983,0.34716448,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,1992,0.895,NA,2,1.828,0,0.6,0.4,0,0.977,-1.117,1,0.983,0.34716448,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,1993,0.892,0,2,1.828,0,0.6,0.4,0,0.977,-1.117,1,0.983,0.34716448,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,1994,0.891,NA,2,1.828,0,0.6,0.4,0,0.977,-1.117,1,0.983,0.34716448,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,1995,0.891,NA,2,1.828,0,0.6,0.4,0,0.977,-1.117,1,0.983,0.34716448,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,1996,0.892,0,2,1.828,0,0.6,0.4,0,0.977,-1.526,1,0.983,0.34716448,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,1997,0.889,NA,2,1.828,0,0.6,0.4,0,0.977,-1.526,1,0.983,0.34716448,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,1998,0.889,0,2,1.828,0,0.4,0.6,0,0.977,-1.526,1,0.983,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,1999,0.887,NA,2,1.828,0,0.4,0.6,0,0.977,-1.526,1,0.983,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2000,0.893,NA,2,1.828,0,0.4,0.6,0,0.977,-1.526,1,0.984,0.25111538,872586798723.367,45558.753131278,NA,NA,19153000,NA,1,0
"Australia",900,2001,0.892,0,2,1.828,0,0.4,0.6,0,0.977,-1.526,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2002,0.882,NA,2,1.828,0,0.4,0.6,0,0.977,-1.526,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2003,0.882,NA,2,1.828,0,0.4,0.6,0,0.977,-1.526,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2004,0.883,0,2,1.828,0,0.4,0.6,0,0.977,-1.526,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2005,0.884,NA,2,1.828,0,0.4,0.6,0,0.977,-1.513,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2006,0.884,NA,2,1.828,0,0.4,0.6,0,0.977,-1.513,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2007,0.884,0,2,1.828,0,0.4,0.6,0,0.977,-1.349,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2008,0.892,NA,2,1.828,0,0.4,0.6,0,0.977,-0.921,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2009,0.892,NA,2,1.828,0,0.4,0.6,0,0.977,-0.921,1,0.984,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2010,0.896,0,2,1.828,0,0.455,0.545,0,0.977,-1.382,1,0.983,0.25111538,NA,NA,NA,NA,NA,NA,1,0
"Australia",900,2011,0.904,NA,2,1.828,0,0.455,0.545,0,0.977,-1.382,1,0.983,0.25111538,NA,NA,NA,NA,NA,NA,1,0
