"country_name","v2x_polyarchy","v2x_libdem","v2x_feduni","v2x_divparctrl","v2jureview","d_bicam","v2xcl_rol","e_gdppc","lvaw_garriga","ind_cso"
"South Sudan",0.180181818181818,0.0710909090909091,0.105545454545455,0.939090909090909,-0.0851818181818182,1,0.140181818181818,22.4,NA,0.573636363636364
"South Yemen",0.128,0.092,0.324,-1.456,-1.1,0,0.216,1.738,NA,0.47
"Spain",0.88321875,0.810125,0.99640625,-0.66621875,1.812,1,0.97915625,29.7797,0.757173913043478,0.68
"Sri Lanka",0.5105625,0.3209375,0.66071875,0.78603125,0.690375,0,0.57696875,7.3809,0.589847826086957,0.53125
"Sudan",0.18109375,0.05465625,0.126625,-0.29425,-0.681625,0.538461538461538,0.09325,2.9686,0.294625006956522,0.411875
"Suriname",0.76771875,0.6489375,0.80871875,0.79334375,-0.57028125,0,0.8599375,9.67013333333333,0.450777173913044,0.2190625
"Sweden",0.917375,0.88578125,0.9465625,0.1015625,0.91721875,0,0.99109375,39.2682333333333,0.2945,0.7084375
"Switzerland",0.89121875,0.84325,0.996,0.32078125,-0.618,1,0.98175,46.372,0.648419895652174,0.50375
"Syria",0.14496875,0.04246875,0.08121875,-0.694,-0.13053125,0,0.15065625,4.2329,0.37145835,0.6334375
"Taiwan",0.6830625,0.58021875,0.79753125,-0.03803125,1.703,0,0.945625,36.3630666666667,0.19395,0.5003125
"Tajikistan",0.21684375,0.06940625,0.02984375,0.492875,1.26475,0.6875,0.2645625,2.6106,0.581042539090909,0.414375
"Tanzania",0.44065625,0.36475,0.37028125,-1.2746875,0.43375,0,0.73734375,1.64823333333333,0.528978260869565,0.4715625
"Thailand",0.366375,0.282125,0.12246875,-0.23753125,0.6871875,0.483870967741935,0.57928125,11.4087,0.188195652173913,0.330625
"The Gambia",0.30828125,0.18784375,0.36796875,-0.4890625,1.15846875,0,0.5551875,2.24246666666667,0.5493947,0.4415625
"Timor-Leste",0.4304375,0.425391304347826,0.20528125,-0.0722812499999999,0.54821875,0,0.567375,2.74196666666667,0.3655545,0.5178125
"Togo",0.3575625,0.19246875,0.04325,0.270875,-1.17134375,0,0.565125,1.4003,0.8015,0.3725
"Trinidad and Tobago",0.7635,0.6456875,0.4378125,0.81865625,1.157,1,0.899625,22.5607,0.441157608695652,0.6190625
"Tunisia",0.3594375,0.26403125,0.29421875,-0.34259375,0.22846875,0.193548387096774,0.56925,8.83913333333333,0.496755448695652,0.6728125
"Turkey",0.51984375,0.35575,0.50496875,-0.16778125,1.6433125,0,0.5378125,15.1084666666667,0.692809782608696,0.6496875
"Turkmenistan",0.127193548387097,0.0273225806451613,0.018,-0.703875,-1.5895,0.46875,0.105,11.7250666666667,0.433964040909091,0.465
"Uganda",0.30515625,0.2390625,0.36178125,-0.63553125,1.805,0,0.6304375,1.48596666666667,0.512065217391304,0.6234375
"Ukraine",0.4766875,0.29371875,0.56725,0.18921875,1.28428125,0,0.724625,8.21416666666667,0.622178327727273,0.630625
"United Arab Emirates",0.05309375,0.07553125,0,-1.135,0.0083125,0,0.54153125,79.5128666666667,0.5155,0.47125
"United Kingdom",0.85378125,0.78771875,0.930375,-0.52359375,-0.4654375,1,0.96,34.4983,0.549545939130435,0.6128125
"United States of America",0.87040625,0.80815625,0.99703125,0.39375,1.947,1,0.95415625,50.6664,0.48039472,0.526875
"Uruguay",0.8771875,0.8031875,0.67675,-0.1909375,1.909,1,0.95734375,14.9838666666667,0.514564086521739,0.5490625
"Uzbekistan",0.17425,0.04575,0.01240625,-1.0946875,0.24578125,0.53125,0.2191875,6.35486666666667,0.53869734,0.4225
"Vanuatu",0.6615,0.5621875,0.3925,-0.3656875,0.83184375,0,0.8546875,3.08203333333333,0.505266304347826,0.3834375
"Venezuela",0.497625,0.29653125,0.87240625,-0.58546875,1.065,0.3125,0.62140625,9.77363333333333,0.702736174782609,0.44125
"Vietnam",0.17315625,0.11075,0.921875,0.81103125,-1.42484375,0,0.4356875,3.63046666666667,0.14921711,0.6121875
"Yemen",0.2578125,0.11275,0.14175,0.25365625,-1.61153125,0.78125,0.2095,2.47133333333333,0.5205,0.54625
"Zambia",0.456625,0.365625,0.40734375,-0.92759375,1.474,0,0.71659375,2.05823333333333,0.45007610173913,0.680625
"Zanzibar",0.2635,0.20121875,0.21,-0.5550625,-0.462,0,0.64490625,NA,NA,0.4153125
"Zimbabwe",0.28428125,0.198,0.483375,-1.0460625,1.518375,0.53125,0.50278125,2.8992,0.364913043478261,0.30125
