"country_name","cowcode","year","v2x_polyarchy","v2x_libdem","v2x_feduni","v2x_divparctrl","v2jureview","d_bicam","v2xcl_rol","e_gdppc","lvaw_garriga","ind_cso"
"Mexico",70,2001,0.682,0.487,0.985,-1.577,0.771,1,0.625,13.645,0.63825,0.52
"Mexico",70,2002,0.695,0.494,0.985,-1.577,0.771,1,0.625,13.635,0.63825,0.52
"Mexico",70,2003,0.703,0.501,0.985,-1.577,0.771,1,0.625,13.713,0.63825,0.52
"Mexico",70,2004,0.711,0.508,0.985,-1.577,0.771,1,0.625,14.061,0.63825,0.52
"Mexico",70,2005,0.711,0.508,0.985,-1.577,0.771,1,0.625,14.332,0.63825,0.52
"Mexico",70,2006,0.672,0.479,0.985,-1.566,0.771,1,0.613,14.584,0.63825,0.52
"Mexico",70,2010,0.654,0.462,0.985,-1.575,0.771,1,0.604,14.779,0.63825,0.48
"Mexico",70,2011,0.652,0.459,0.985,-1.575,1.052,1,0.604,15.128,0.63825,0.48
"Mexico",70,2018,0.674,0.453,0.98,-1.115,0.872,1,0.647,16.885,NA,0.69
"Mexico",70,2019,0.669,0.438,0.98,-1.232,0.872,1,0.629,16.814,NA,0.48
"Suriname",115,1990,0.732,0.559,0.845,0.741,-0.53,NA,0.838,7.687,0.417125,0
"Suriname",115,1992,0.776,0.653,0.845,0.741,-0.53,0,0.866,7.59,0.417125,0
"Suriname",115,1993,0.779,0.666,0.845,0.741,-0.53,0,0.866,7.243,0.417125,0
"Suriname",115,1994,0.779,0.667,0.845,0.741,-0.53,0,0.866,7.183,0.417125,0
"Suriname",115,1995,0.779,0.667,0.845,0.741,-0.53,0,0.866,7.095,0.417125,0
"Suriname",115,1996,0.786,0.677,0.845,0.741,-0.53,0,0.866,7.303,0.417125,0
"Suriname",115,1997,0.789,0.678,0.845,0.741,-0.53,0,0.866,7.539,0.417125,0
"Suriname",115,1998,0.789,0.678,0.845,0.741,-0.53,0,0.866,7.617,0.417125,0
"Suriname",115,1999,0.789,0.678,0.845,0.741,-0.53,0,0.866,7.492,0.417125,0
"Suriname",115,2000,0.797,0.686,0.845,0.741,-0.53,0,0.866,7.671,0.417125,0
"Suriname",115,2001,0.792,0.681,0.845,0.741,-0.53,0,0.865,7.932,0.417125,0
"Suriname",115,2002,0.792,0.681,0.845,0.741,-0.53,0,0.865,8.25,0.417125,0
"Suriname",115,2003,0.792,0.681,0.845,0.741,-0.53,0,0.865,8.667,0.417125,0
"Suriname",115,2004,0.792,0.681,0.845,0.741,-0.53,0,0.865,9.156,0.417125,0
"Suriname",115,2005,0.788,0.677,0.845,0.741,-0.53,0,0.865,9.545,0.513875,0.26
"Suriname",115,2006,0.785,0.674,0.845,0.741,-0.53,0,0.865,10.008,0.513875,0.26
"Suriname",115,2007,0.783,0.673,0.845,0.741,-0.53,0,0.865,10.481,0.513875,0.26
"Suriname",115,2008,0.784,0.673,0.845,0.741,-0.53,0,0.865,10.918,0.513875,0.26
"Suriname",115,2009,0.784,0.673,0.845,0.741,-0.53,0,0.865,11.29,0.513875,0.26
"Suriname",115,2010,0.777,0.658,0.829,0.741,-0.53,0,0.862,11.815,0.513875,0.27
"Suriname",115,2011,0.77,0.652,0.829,0.741,-0.53,0,0.862,12.351,0.513875,0.27
"Suriname",115,2012,0.77,0.649,0.829,0.741,-0.53,0,0.862,12.672,0.513875,0.27
"Suriname",115,2013,0.767,0.644,0.846,1.026,-0.927,0,0.859,12.831,NA,0.47
"Suriname",115,2014,0.767,0.644,0.846,1.026,-0.927,0,0.859,12.786,NA,0.47
"Suriname",115,2015,0.774,0.649,0.846,1.026,-0.927,0,0.859,12.304,NA,0.47
"Suriname",115,2016,0.778,0.643,0.846,1.026,-0.927,0,0.858,11.779,NA,0.57
"Suriname",115,2017,0.766,0.638,0.846,1.026,-0.927,0,0.854,11.76,NA,0.57
"Suriname",115,2018,0.766,0.623,0.846,1.026,-0.927,0,0.841,11.705,NA,0.5
"Suriname",115,2019,0.766,0.604,0.472,1.026,-0.927,0,0.792,11.752,NA,0.55
"Suriname",115,2020,0.761,0.627,0.472,1.026,0.215,0,0.85,NA,NA,0.7
"Suriname",115,2021,0.76,0.648,0.472,0.136,0.215,0,0.881,NA,NA,0.6
"Sweden",380,1990,0.916,0.884,0.95,0.634,0.873,0,0.992,30.348,0.2945,1
"Sweden",380,1991,0.916,0.884,0.95,-0.409,0.873,0,0.992,30.18,0.2945,0.88
"Sweden",380,1992,0.915,0.884,0.95,-0.409,0.873,0,0.992,29.787,0.2945,0.88
"Sweden",380,1993,0.916,0.884,0.95,-0.409,0.873,0,0.992,29.357,0.2945,0.76
"Sweden",380,1994,0.916,0.884,0.95,0.209,0.873,0,0.992,30.079,0.2945,0.76
"Sweden",380,1995,0.916,0.883,0.95,0.154,0.873,0,0.992,31.085,0.2945,0.76
"Sweden",380,1996,0.916,0.883,0.95,0.154,0.873,0,0.992,31.746,0.2945,0.76
"Sweden",380,1997,0.916,0.883,0.95,0.154,0.873,0,0.992,32.894,0.2945,0.76
"Sweden",380,1998,0.916,0.883,0.95,0.154,0.873,0,0.992,34.167,0.2945,0.76
"Sweden",380,1999,0.914,0.881,0.95,0.154,0.873,0,0.992,35.744,0.2945,0.76
"Sweden",380,2000,0.914,0.881,0.95,0.154,0.873,0,0.992,36.902,0.2945,0.76
"Sweden",380,2001,0.914,0.881,0.95,0.154,0.873,0,0.992,37.555,0.2945,0.76
"Sweden",380,2002,0.915,0.882,0.95,0.154,0.873,0,0.992,38.117,0.2945,0.76
"Sweden",380,2003,0.916,0.884,0.95,0.154,0.873,0,0.992,38.849,0.2945,0.76
"Sweden",380,2004,0.916,0.884,0.95,0.154,0.873,0,0.992,40.198,0.2945,0.76
"Sweden",380,2005,0.916,0.884,0.95,0.154,0.873,0,0.992,41.079,0.2945,0.65
"Sweden",380,2006,0.918,0.886,0.95,0.127,0.873,0,0.992,42.378,0.2945,0.65
"Sweden",380,2007,0.922,0.891,0.95,0.127,0.873,0,0.992,43.362,0.2945,0.65
"Sweden",380,2008,0.922,0.891,0.95,0.127,0.873,0,0.992,43.457,0.2945,0.65
"Sweden",380,2009,0.922,0.891,0.95,0.127,0.873,0,0.992,42.656,0.2945,0.65
"Sweden",380,2010,0.92,0.889,0.95,0.127,1.198,0,0.992,43.325,0.2945,0.65
"Sweden",380,2011,0.923,0.892,0.95,0.127,1.198,0,0.992,43.82,0.2945,0.65
"Sweden",380,2012,0.926,0.896,0.95,0.127,1.198,0,0.992,43.817,0.2945,0.65
"Sweden",380,2013,0.926,0.895,0.94,0.265,1.198,0,0.991,43.978,NA,0.66
"Sweden",380,2014,0.923,0.893,0.933,0.265,1.198,0,0.991,44.924,NA,0.66
"Sweden",380,2015,0.922,0.89,0.933,0.014,0.843,0,0.989,45.983,NA,0.62
"Sweden",380,2016,0.922,0.89,0.933,0.014,0.843,0,0.989,46.995,NA,0.62
"Sweden",380,2017,0.922,0.89,0.933,0.014,0.843,0,0.987,47.827,NA,0.61
"Sweden",380,2018,0.917,0.886,0.942,0.53,0.843,0,0.988,48.634,NA,0.61
"Sweden",380,2019,0.908,0.879,0.942,-0.017,0.843,0,0.988,48.804,NA,0.63
"Sweden",380,2020,0.908,0.879,0.942,-0.017,0.843,0,0.988,NA,NA,0.59
"Sweden",380,2021,0.907,0.878,0.942,-0.017,0.843,0,0.988,NA,NA,0.59
"Switzerland",225,1990,0.885,0.828,0.996,0.296,-0.618,1,0.976,38.159,0.5571842,0.52
"Switzerland",225,1991,0.887,0.83,0.996,0.296,-0.618,1,0.979,38.158,0.5571842,0.52
"Switzerland",225,1992,0.886,0.83,0.996,0.296,-0.618,1,0.979,37.938,0.5571842,0.52
"Switzerland",225,1993,0.886,0.835,0.996,0.296,-0.618,1,0.979,37.619,0.5571842,0.52
"Switzerland",225,1994,0.886,0.835,0.996,0.296,-0.618,1,0.979,37.864,0.5571842,0.52
"Switzerland",225,1995,0.886,0.835,0.996,0.296,-0.618,1,0.979,37.959,0.5571842,0.52
"Switzerland",225,1996,0.888,0.836,0.996,0.296,-0.618,1,0.979,38.373,0.5571842,0.52
"Switzerland",225,1997,0.888,0.836,0.996,0.296,-0.618,1,0.979,39.19,0.5571842,0.52
"Switzerland",225,1998,0.888,0.836,0.996,0.296,-0.618,1,0.979,40.451,0.5571842,0.52
"Switzerland",225,1999,0.887,0.837,0.996,0.296,-0.618,1,0.979,41.134,0.5571842,0.52
"Switzerland",225,2000,0.886,0.834,0.996,0.296,-0.618,1,0.982,42.208,0.5571842,0.52
"Switzerland",225,2001,0.886,0.834,0.996,0.296,-0.618,1,0.982,42.74,0.5571842,0.52
"Switzerland",225,2002,0.886,0.834,0.996,0.296,-0.618,1,0.984,44.09,0.5571842,0.52
"Switzerland",225,2003,0.886,0.839,0.996,0.296,-0.618,1,0.984,44.478,0.7670263,0.52
"Switzerland",225,2004,0.888,0.841,0.996,0.296,-0.618,1,0.984,45.295,0.7670263,0.52
"Switzerland",225,2005,0.888,0.841,0.996,0.296,-0.618,1,0.984,46.618,0.7670263,0.53
"Switzerland",225,2006,0.888,0.841,0.996,0.296,-0.618,1,0.984,48.41,0.7670263,0.53
"Switzerland",225,2007,0.889,0.843,0.996,0.296,-0.618,1,0.984,50.126,0.7670263,0.53
"Switzerland",225,2008,0.894,0.849,0.996,0.296,-0.618,1,0.984,51.129,0.7670263,0.53
"Switzerland",225,2009,0.894,0.848,0.996,0.296,-0.618,1,0.983,50.844,0.7670263,0.53
"Switzerland",225,2010,0.894,0.848,0.996,0.296,-0.618,1,0.981,51.349,0.7670263,0.52
"Switzerland",225,2011,0.896,0.85,0.996,0.296,-0.618,1,0.981,52.321,0.7670263,0.52
"Switzerland",225,2012,0.904,0.858,0.996,0.296,-0.618,1,0.981,52.442,0.7670263,0.52
"Switzerland",225,2013,0.904,0.859,0.996,0.296,-0.618,1,0.982,53.1,NA,0.47
"Switzerland",225,2014,0.904,0.859,0.996,0.296,-0.618,1,0.982,53.504,NA,0.47
"Switzerland",225,2015,0.901,0.857,0.996,0.625,-0.618,1,0.984,53.812,NA,0.5
"Switzerland",225,2016,0.892,0.846,0.996,0.625,-0.618,1,0.984,54.22,NA,0.5
"Switzerland",225,2017,0.898,0.859,0.996,0.323,-0.618,1,0.984,55.473,NA,0.5
"Switzerland",225,2018,0.898,0.86,0.996,0.323,-0.618,1,0.985,56.046,NA,0.5
"Switzerland",225,2019,0.897,0.859,0.996,0.323,-0.618,1,0.985,56.11,NA,0.39
"Switzerland",225,2020,0.894,0.851,0.996,0.323,-0.618,1,0.981,NA,NA,0.39
"Switzerland",225,2021,0.885,0.836,0.996,0.323,-0.618,1,0.984,NA,NA,0.39
"Ghana",452,2001,0.724,0.629,0.181,1.525,1.785,0,0.914,2.876,0.30562502,0.5
"Ghana",452,2002,0.733,0.638,0.181,1.525,1.785,0,0.914,2.937,0.5606667,0.5
"Ghana",452,2003,0.733,0.64,0.181,1.525,1.785,0,0.93,3.015,0.5606667,0.6
"Ghana",452,2004,0.733,0.639,0.181,1.525,1.785,0,0.93,3.102,0.5606667,0.6
"Ghana",452,2005,0.729,0.636,0.181,1.525,1.785,0,0.93,3.191,0.5606667,0.57
"Ghana",452,2006,0.729,0.636,0.181,1.525,1.785,0,0.93,3.284,0.5606667,0.57
"Ghana",452,2007,0.733,0.637,0.181,1.525,1.785,0,0.93,3.404,0.5606667,0.57
"Ghana",452,2008,0.735,0.637,0.181,1.525,1.785,0,0.93,3.586,0.5606667,0.57
"Ghana",452,2009,0.765,0.664,0.181,1.525,1.785,0,0.931,3.696,0.5606667,0.57
"Ghana",452,2010,0.773,0.678,0.181,1.525,1.785,0,0.933,3.886,0.5606667,0.56
"Ghana",452,2011,0.773,0.678,0.174,1.525,1.785,0,0.933,4.278,0.5606667,0.56
"Ghana",452,2012,0.778,0.672,0.174,1.525,1.785,0,0.917,4.57,0.5606667,0.56
"Ghana",452,2013,0.754,0.636,0.174,-1.444,1.785,0,0.923,4.761,NA,0.53
"Ghana",452,2014,0.743,0.625,0.174,-1.444,1.785,0,0.92,4.848,NA,0.53
"Ghana",452,2015,0.741,0.628,0.174,-1.444,1.785,0,0.879,4.878,NA,0.55
"Ghana",452,2016,0.738,0.62,0.174,-1.444,1.785,0,0.903,4.942,NA,0.46
"Ghana",452,2017,0.742,0.631,0.174,-1.444,1.785,0,0.906,5.164,NA,0.41
"Ghana",452,2018,0.746,0.632,0.174,-1.444,1.785,0,0.898,5.39,NA,0.46
"Ghana",452,2019,0.723,0.616,0.174,-1.444,1.785,0,0.903,5.608,NA,0.48
